,Year,Team,GM
823,2006,FLA,Larry Beinfest
824,2005,FLA,Larry Beinfest
825,2004,FLA,Larry Beinfest
826,2003,FLA,Larry Beinfest
827,2002,FLA,Larry Beinfest
828,2001,FLA,Dave Dombrowski
829,2000,FLA,Dave Dombrowski
830,1999,FLA,Dave Dombrowski
831,1998,FLA,Dave Dombrowski
832,1997,FLA,Dave Dombrowski
833,1996,FLA,Dave Dombrowski
834,1995,FLA,Dave Dombrowski
835,1994,FLA,Dave Dombrowski
836,1993,FLA,Dave Dombrowski
837,2021,MIL,Matt Arnold
838,2020,MIL,David Stearns
839,2019,MIL,David Stearns
840,2018,MIL,David Stearns
841,2017,MIL,David Stearns
842,2016,MIL,David Stearns
843,2015,MIL,Douglas Melvin
844,2014,MIL,Douglas Melvin
845,2013,MIL,Douglas Melvin
846,2012,MIL,Douglas Melvin
847,2011,MIL,Douglas Melvin
848,2010,MIL,Douglas Melvin
849,2009,MIL,Douglas Melvin
850,2008,MIL,Douglas Melvin
851,2007,MIL,Douglas Melvin
852,2006,MIL,Douglas Melvin
853,2005,MIL,Douglas Melvin
854,2004,MIL,Douglas Melvin
855,2003,MIL,Douglas Melvin
856,2002,MIL,Dean Taylor
857,2001,MIL,Dean Taylor
858,2000,MIL,Dean Taylor
859,1999,MIL,Sal Bando
860,1998,MIL,Sal Bando
861,1997,MIL,Sal Bando
862,1996,MIL,Sal Bando
863,1995,MIL,Sal Bando
864,1994,MIL,Sal Bando
865,1993,MIL,Sal Bando
866,1992,MIL,Sal Bando
867,1991,MIL,Harry Dalton
868,1990,MIL,Harry Dalton
869,1989,MIL,Harry Dalton
870,1988,MIL,Harry Dalton
871,1987,MIL,Harry Dalton
872,1986,MIL,Harry Dalton
873,1985,MIL,Harry Dalton
874,1984,MIL,Harry Dalton
875,1983,MIL,Harry Dalton
876,1982,MIL,Harry Dalton
877,1981,MIL,Harry Dalton
878,1980,MIL,Harry Dalton
879,1979,MIL,Harry Dalton
880,1978,MIL,Harry Dalton
881,1977,MIL,Jim Baumer
882,1976,MIL,Jim Baumer
883,1975,MIL,Jim Baumer
884,1974,MIL,Jim Wilson
885,1973,MIL,Jim Wilson
886,1972,MIL,Frank Lane
887,1971,MIL,Frank Lane
888,1970,MIL,Marvin Milkes
889,1969,SEA,Marvin Milkes
890,2021,MIN,Thad Levine
891,2020,MIN,Thad Levine
892,2019,MIN,Thad Levine
893,2018,MIN,Thad Levine
894,2017,MIN,Derek Falvey
895,2016,MIN,Rob Antony
896,2016,MIN,Terry Ryan
897,2015,MIN,Terry Ryan
898,2014,MIN,Terry Ryan
899,2013,MIN,Terry Ryan
900,2012,MIN,Terry Ryan
901,2011,MIN,Bill Smith
902,2010,MIN,Bill Smith
903,2009,MIN,Bill Smith
904,2008,MIN,Bill Smith
905,2007,MIN,Terry Ryan
906,2006,MIN,Terry Ryan
907,2005,MIN,Terry Ryan
908,2004,MIN,Terry Ryan
909,2003,MIN,Terry Ryan
910,2002,MIN,Terry Ryan
911,2001,MIN,Terry Ryan
912,2000,MIN,Terry Ryan
913,1999,MIN,Terry Ryan
914,1998,MIN,Terry Ryan
915,1997,MIN,Terry Ryan
916,1996,MIN,Terry Ryan
917,1995,MIN,Terry Ryan
918,1994,MIN,Andy MacPhail
919,1993,MIN,Andy MacPhail
920,1992,MIN,Andy MacPhail
921,1991,MIN,Andy MacPhail
922,1990,MIN,Andy MacPhail
923,1989,MIN,Andy MacPhail
924,1988,MIN,Andy MacPhail
925,1987,MIN,Andy MacPhail
926,1986,MIN,Andy MacPhail
927,1985,MIN,Howard Fox
928,1984,MIN,Calvin Griffith
929,1983,MIN,Calvin Griffith
930,1982,MIN,Calvin Griffith
931,1981,MIN,Calvin Griffith
932,1980,MIN,Calvin Griffith
933,1979,MIN,Calvin Griffith
934,1978,MIN,Calvin Griffith
935,1977,MIN,Calvin Griffith
936,1976,MIN,Calvin Griffith
937,1975,MIN,Calvin Griffith
938,1974,MIN,Calvin Griffith
939,1973,MIN,Calvin Griffith
940,1972,MIN,Calvin Griffith
941,1971,MIN,Calvin Griffith
942,1970,MIN,Calvin Griffith
943,1969,MIN,Calvin Griffith
944,1968,MIN,Calvin Griffith
945,1967,MIN,Calvin Griffith
946,1966,MIN,Calvin Griffith
947,1965,MIN,Calvin Griffith
948,1964,MIN,Calvin Griffith
949,1963,MIN,Calvin Griffith
950,1962,MIN,Calvin Griffith
951,1961,MIN,Calvin Griffith
952,1960,WAS,Calvin Griffith
953,1959,WAS,Calvin Griffith
954,1958,WAS,Calvin Griffith
955,1957,WAS,Calvin Griffith
956,1956,WAS,Calvin Griffith
957,1955,WAS,Calvin Griffith
958,1954,WAS,Calvin Griffith
959,1953,WAS,Calvin Griffith
960,1952,WAS,Calvin Griffith
961,1951,WAS,Calvin Griffith
962,1950,WAS,Calvin Griffith
963,2020,NYM,Brodie Van Wagenen
964,2019,NYM,Brodie Van Wagenen
965,2018,NYM,Sandy Alderson
966,2017,NYM,Sandy Alderson
967,2016,NYM,Sandy Alderson
968,2015,NYM,Sandy Alderson
969,2014,NYM,Sandy Alderson
970,2013,NYM,Sandy Alderson
971,2012,NYM,Sandy Alderson
972,2011,NYM,Sandy Alderson
973,2010,NYM,Omar Minaya
974,2009,NYM,Omar Minaya
975,2008,NYM,Omar Minaya
976,2007,NYM,Omar Minaya
977,2006,NYM,Omar Minaya
978,2005,NYM,Omar Minaya
979,2004,NYM,Jim Duquette
980,2003,NYM,Steve Phillips
981,2002,NYM,Steve Phillips
982,2001,NYM,Steve Phillips
983,2000,NYM,Steve Phillips
984,1999,NYM,Steve Phillips
985,1998,NYM,Steve Phillips
986,1997,NYM,Joe McIlvaine
987,1996,NYM,Joe McIlvaine
988,1995,NYM,Joe McIlvaine
989,1994,NYM,Joe McIlvaine
990,1993,NYM,Al Harazin
991,1992,NYM,Gerry Hunsicker
992,1991,NYM,Gerry Hunsicker
993,1990,NYM,Frank Cashen
994,1989,NYM,Frank Cashen
995,1988,NYM,Frank Cashen
996,1987,NYM,Frank Cashen
997,1986,NYM,Frank Cashen
998,1985,NYM,Frank Cashen
999,1984,NYM,Frank Cashen
1000,1983,NYM,Frank Cashen
1001,1982,NYM,Frank Cashen
1002,1981,NYM,Frank Cashen
1003,1980,NYM,Frank Cashen
1004,1979,NYM,Joe McDonald
1005,1978,NYM,Joe McDonald
1006,1977,NYM,Joe McDonald
1007,1976,NYM,Joe McDonald
1008,1975,NYM,Joe McDonald
1009,1974,NYM,Bob Scheffing
1010,1973,NYM,Bob Scheffing
1011,1972,NYM,Bob Scheffing
1012,1971,NYM,Bob Scheffing
1013,1970,NYM,Bob Scheffing
1014,1969,NYM,Johnny Murphy
1015,1968,NYM,Johnny Murphy
1016,1967,NYM,Bing Devine
1017,1966,NYM,George Weiss
1018,1965,NYM,George Weiss
1019,1964,NYM,George Weiss
1020,1963,NYM,George Weiss
1021,1962,NYM,George Weiss
1022,2021,NYY,Brian Cashman
1023,2020,NYY,Brian Cashman
1024,2019,NYY,Brian Cashman
1025,2018,NYY,Brian Cashman
1026,2017,NYY,Brian Cashman
1027,2016,NYY,Brian Cashman
1028,2015,NYY,Brian Cashman
1029,2014,NYY,Brian Cashman
1030,2013,NYY,Brian Cashman
1031,2012,NYY,Brian Cashman
1032,2011,NYY,Brian Cashman
1033,2010,NYY,Brian Cashman
1034,2009,NYY,Brian Cashman
1035,2008,NYY,Brian Cashman
1036,2007,NYY,Brian Cashman
1037,2006,NYY,Brian Cashman
1038,2005,NYY,Brian Cashman
1039,2004,NYY,Brian Cashman
1040,2003,NYY,Brian Cashman
1041,2002,NYY,Brian Cashman
1042,2001,NYY,Brian Cashman
1043,2000,NYY,Brian Cashman
1044,1999,NYY,Brian Cashman
1045,1998,NYY,Brian Cashman
1046,1997,NYY,Bob Watson
1047,1996,NYY,Bob Watson
1048,1995,NYY,Gene Michael
1049,1994,NYY,Gene Michael
1050,1993,NYY,Gene Michael
1051,1992,NYY,Gene Michael
1052,1991,NYY,Gene Michael
1053,1990,NYY,Hardy Peterson
1054,1989,NYY,Bob Quinn
1055,1988,NYY,Lou Piniella
1056,1988,NYY,Bob Quinn
1057,1987,NYY,Woody Woodward
1058,1986,NYY,Clyde King
1059,1985,NYY,Clyde King
1060,1984,NYY,Murray Cook
1061,1983,NYY,Bill Bergesch
1062,1982,NYY,Bill Bergesch
1063,1981,NYY,Gene Michael
1064,1980,NYY,Gene Michael
1065,1979,NYY,Cedric Tallis
1066,1978,NYY,Cedric Tallis
1067,1977,NYY,Gabe Paul
1068,1976,NYY,Gabe Paul
1069,1975,NYY,Gabe Paul
1070,1975,NYY,Tal Smith
1071,1974,NYY,Gabe Paul
1072,1974,NYY,Tal Smith
1073,1973,NYY,Lee MacPhail
1074,1972,NYY,Lee MacPhail
1075,1971,NYY,Lee MacPhail
1076,1970,NYY,Lee MacPhail
1077,1969,NYY,Lee MacPhail
1078,1968,NYY,Lee MacPhail
1079,1967,NYY,Lee MacPhail
1080,1966,NYY,Ralph Houk
1081,1965,NYY,Ralph Houk
1082,1964,NYY,Ralph Houk
1083,1963,NYY,Roy Hamey
1084,1962,NYY,Roy Hamey
1085,1961,NYY,Roy Hamey
1086,1960,NYY,George Weiss
1087,1959,NYY,George Weiss
1088,1958,NYY,George Weiss
1089,1957,NYY,George Weiss
1090,1956,NYY,George Weiss
1091,1955,NYY,George Weiss
1092,1954,NYY,George Weiss
1093,1953,NYY,George Weiss
1094,1952,NYY,George Weiss
1095,1951,NYY,George Weiss
1096,1950,NYY,George Weiss
1097,2021,OAK,David Forst
1098,2020,OAK,David Forst
1099,2019,OAK,David Forst
1100,2018,OAK,David Forst
1101,2017,OAK,David Forst
1102,2016,OAK,David Forst
1103,2015,OAK,Billy Beane
1104,2014,OAK,Billy Beane
1105,2013,OAK,Billy Beane
1106,2012,OAK,Billy Beane
1107,2011,OAK,Billy Beane
1108,2010,OAK,Billy Beane
1109,2009,OAK,Billy Beane
1110,2008,OAK,Billy Beane
1111,2007,OAK,Billy Beane
1112,2006,OAK,Billy Beane
1113,2005,OAK,Billy Beane
1114,2004,OAK,Billy Beane
1115,2003,OAK,Billy Beane
1116,2002,OAK,Billy Beane
1117,2001,OAK,Billy Beane
1118,2000,OAK,Billy Beane
1119,1999,OAK,Billy Beane
1120,1998,OAK,Billy Beane
1121,1997,OAK,Sandy Alderson
1122,1996,OAK,Sandy Alderson
1123,1995,OAK,Sandy Alderson
1124,1994,OAK,Sandy Alderson
1125,1993,OAK,Sandy Alderson
1126,1992,OAK,Sandy Alderson
1127,1991,OAK,Sandy Alderson
1128,1990,OAK,Sandy Alderson
1129,1989,OAK,Sandy Alderson
1130,1988,OAK,Sandy Alderson
1131,1987,OAK,Sandy Alderson
1132,1986,OAK,Sandy Alderson
1133,1985,OAK,Sandy Alderson
1134,1984,OAK,Sandy Alderson
1135,1983,OAK,Sandy Alderson
1136,1982,OAK,Billy Martin
1137,1981,OAK,Billy Martin
1138,1980,OAK,Charlie Finley
1139,1979,OAK,Charlie Finley
1140,1978,OAK,Charlie Finley
1141,1977,OAK,Charlie Finley
1142,1976,OAK,Charlie Finley
1143,1975,OAK,Charlie Finley
1144,1974,OAK,Charlie Finley
1145,1973,OAK,Charlie Finley
1146,1972,OAK,Charlie Finley
1147,1971,OAK,Charlie Finley
1148,1970,OAK,Charlie Finley
1149,1969,OAK,Charlie Finley
1150,1968,OAK,Charlie Finley
1151,1967,KCA,Ed Lopat
1152,1966,KCA,Ed Lopat
1153,1965,KCA,Hank Peters
1154,1965,KCA,Pat Friday
1155,1964,KCA,Pat Friday
1156,1963,KCA,Pat Friday
1157,1962,KCA,Pat Friday
1158,1961,KCA,Frank Lane
1159,1960,KCA,Parke Carroll
1160,1959,KCA,Parke Carroll
1161,1958,KCA,George Selkirk
1162,1957,KCA,George Selkirk
1163,1953,PHA,Art Ehlers
1164,1952,PHA,Art Ehlers
1165,1951,PHA,Art Ehlers
1166,1950,PHA,Art Ehlers
1167,2021,PHI,Sam Fuld
1168,2020,PHI,Matt Klentak
1169,2019,PHI,Matt Klentak
1170,2018,PHI,Matt Klentak
1171,2017,PHI,Matt Klentak
1172,2016,PHI,Matt Klentak
1173,2015,PHI,Ruben Amaro
1174,2014,PHI,Ruben Amaro
1175,2013,PHI,Ruben Amaro
1176,2012,PHI,Ruben Amaro
1177,2011,PHI,Ruben Amaro
1178,2010,PHI,Ruben Amaro
1179,2009,PHI,Ruben Amaro
1180,2008,PHI,Pat Gillick
1181,2007,PHI,Pat Gillick
1182,2006,PHI,Pat Gillick
1183,2005,PHI,Ed Wade
1184,2004,PHI,Ed Wade
1185,2003,PHI,Ed Wade
1186,2002,PHI,Ed Wade
1187,2001,PHI,Ed Wade
1188,2000,PHI,Ed Wade
1189,1999,PHI,Ed Wade
1190,1998,PHI,Ed Wade
1191,1997,PHI,Lee Thomas
1192,1996,PHI,Lee Thomas
1193,1995,PHI,Lee Thomas
1194,1994,PHI,Lee Thomas
1195,1993,PHI,Lee Thomas
1196,1992,PHI,Lee Thomas
1197,1991,PHI,Lee Thomas
1198,1990,PHI,Lee Thomas
1199,1989,PHI,Lee Thomas
1200,1988,PHI,Woody Woodward
1201,1987,PHI,Bill Giles
1202,1986,PHI,Bill Giles
1203,1985,PHI,Bill Giles
1204,1984,PHI,Bill Giles
1205,1983,PHI,Paul Owens
1206,1982,PHI,Paul Owens
1207,1981,PHI,Paul Owens
1208,1980,PHI,Paul Owens
1209,1979,PHI,Paul Owens
1210,1978,PHI,Paul Owens
1211,1977,PHI,Paul Owens
1212,1976,PHI,Paul Owens
1213,1975,PHI,Paul Owens
1214,1974,PHI,Paul Owens
1215,1973,PHI,Paul Owens
1216,1972,PHI,John Quinn
1217,1971,PHI,John Quinn
1218,1970,PHI,John Quinn
1219,1969,PHI,John Quinn
1220,1968,PHI,John Quinn
1221,1967,PHI,John Quinn
1222,1966,PHI,John Quinn
1223,1965,PHI,John Quinn
1224,1964,PHI,John Quinn
1225,1963,PHI,John Quinn
1226,1962,PHI,John Quinn
1227,1961,PHI,John Quinn
1228,1960,PHI,John Quinn
1229,1959,PHI,John Quinn
1230,1958,PHI,Roy Hamey
1231,1957,PHI,Roy Hamey
1232,1956,PHI,Roy Hamey
1233,1955,PHI,Roy Hamey
1234,1954,PHI,Roy Hamey
1235,1953,PHI,Bob Carpenter
1236,1952,PHI,Bob Carpenter
1237,1951,PHI,Bob Carpenter
1238,1950,PHI,Bob Carpenter
1239,2021,PIT,Ben Cherington
1240,2020,PIT,Ben Cherington
1241,2019,PIT,Neal Huntington
1242,2018,PIT,Neal Huntington
1243,2017,PIT,Neal Huntington
1244,2016,PIT,Neal Huntington
1245,2015,PIT,Neal Huntington
1246,2014,PIT,Neal Huntington
1247,2013,PIT,Neal Huntington
1248,2012,PIT,Neal Huntington
1249,2011,PIT,Neal Huntington
1250,2010,PIT,Neal Huntington
1251,2009,PIT,Neal Huntington
1252,2008,PIT,Neal Huntington
1253,2007,PIT,Neal Huntington
1254,2006,PIT,Dave Littlefield
1255,2005,PIT,Dave Littlefield
1256,2004,PIT,Dave Littlefield
1257,2003,PIT,Dave Littlefield
1258,2002,PIT,Dave Littlefield
1259,2001,PIT,Cam Bonifay
1260,2001,PIT,Dave Littlefield
1261,2000,PIT,Cam Bonifay
1262,1999,PIT,Cam Bonifay
1263,1998,PIT,Cam Bonifay
1264,1997,PIT,Cam Bonifay
1265,1996,PIT,Cam Bonifay
1266,1995,PIT,Cam Bonifay
1267,1994,PIT,Cam Bonifay
1268,1993,PIT,Ted Simmons
1269,1992,PIT,Ted Simmons
1270,1991,PIT,Larry Doughty
1271,1990,PIT,Larry Doughty
1272,1989,PIT,Larry Doughty
1273,1988,PIT,Syd Thrift
1274,1987,PIT,Syd Thrift
1275,1986,PIT,Syd Thrift
1276,1985,PIT,Hardy Peterson
1277,1984,PIT,Hardy Peterson
1278,1983,PIT,Hardy Peterson
1279,1982,PIT,Hardy Peterson
1280,1981,PIT,Hardy Peterson
1281,1980,PIT,Hardy Peterson
1282,1979,PIT,Hardy Peterson
1283,1978,PIT,Hardy Peterson
1284,1978,PIT,Joseph O'Toole
1285,1977,PIT,Hardy Peterson
1286,1977,PIT,Joseph O'Toole
1287,1976,PIT,Joe Brown
1288,1975,PIT,Joe Brown
1289,1974,PIT,Joe Brown
1290,1973,PIT,Joe Brown
1291,1972,PIT,Joe Brown
1292,1971,PIT,Joe Brown
1293,1970,PIT,Joe Brown
1294,1969,PIT,Joe Brown
1295,1968,PIT,Joe Brown
1296,1967,PIT,Joe Brown
1297,1966,PIT,Joe Brown
1298,1965,PIT,Joe Brown
1299,1964,PIT,Joe Brown
1300,1963,PIT,Joe Brown
1301,1962,PIT,Joe Brown
1302,1961,PIT,Joe Brown
1303,1960,PIT,Joe Brown
1304,1959,PIT,Joe Brown
1305,1958,PIT,Joe Brown
1306,1957,PIT,Joe Brown
1307,1956,PIT,Joe Brown
1308,1955,PIT,Branch Rickey
1309,1954,PIT,Branch Rickey
1310,1953,PIT,Branch Rickey
1311,1952,PIT,Branch Rickey
1312,1951,PIT,Branch Rickey
1313,1950,PIT,Roy Hamey
1314,1949,PIT,Roy Hamey
1315,1948,PIT,Roy Hamey
1316,1947,PIT,Roy Hamey
1317,1946,PIT,Roy Hamey
1318,2021,SDP,AJ Preller
1319,2020,SDP,AJ Preller
1320,2019,SDP,AJ Preller
1321,2018,SDP,AJ Preller
1322,2017,SDP,AJ Preller
1323,2016,SDP,AJ Preller
1324,2015,SDP,AJ Preller
1325,2014,SDP,Josh Byrnes
1326,2014,SDP,AJ Preller
1327,2013,SDP,Josh Byrnes
1328,2012,SDP,Josh Byrnes
1329,2011,SDP,Jed Hoyer
1330,2010,SDP,Jed Hoyer
1331,2009,SDP,Kevin Towers
1332,2008,SDP,Kevin Towers
1333,2007,SDP,Kevin Towers
1334,2006,SDP,Kevin Towers
1335,2005,SDP,Kevin Towers
1336,2004,SDP,Kevin Towers
1337,2003,SDP,Kevin Towers
1338,2002,SDP,Kevin Towers
1339,2001,SDP,Kevin Towers
1340,2000,SDP,Kevin Towers
1341,1999,SDP,Kevin Towers
1342,1998,SDP,Kevin Towers
1343,1997,SDP,Kevin Towers
1344,1996,SDP,Kevin Towers
1345,1995,SDP,Randy Smith
1346,1994,SDP,Randy Smith
1347,1993,SDP,Joe McIlvaine
1348,1992,SDP,Joe McIlvaine
1349,1991,SDP,Joe McIlvaine
1350,1990,SDP,Jack McKeon
1351,1989,SDP,Jack McKeon
1352,1988,SDP,Jack McKeon
1353,1987,SDP,Jack McKeon
1354,1986,SDP,Jack McKeon
1355,1985,SDP,Jack McKeon
1356,1984,SDP,Jack McKeon
1357,1983,SDP,Jack McKeon
1358,1982,SDP,Jack McKeon
1359,1981,SDP,Jack McKeon
1360,1980,SDP,Bob Fontaine
1361,1979,SDP,Bob Fontaine
1362,1978,SDP,Bob Fontaine
1363,1977,SDP,Bob Fontaine
1364,1976,SDP,Buzzie Bavasi
1365,1975,SDP,Buzzie Bavasi
1366,1974,SDP,Buzzie Bavasi
1367,1973,SDP,Buzzie Bavasi
1368,1972,SDP,Buzzie Bavasi
1369,1971,SDP,Buzzie Bavasi
1370,1970,SDP,Buzzie Bavasi
1371,1969,SDP,Buzzie Bavasi
1372,2021,SFG,Scott Harris
1373,2020,SFG,Scott Harris
1374,2019,SFG,Bobby Evans
1375,2018,SFG,Bobby Evans
1376,2017,SFG,Bobby Evans
1377,2016,SFG,Brian Sabean
1378,2015,SFG,Brian Sabean
1379,2014,SFG,Brian Sabean
1380,2013,SFG,Brian Sabean
1381,2012,SFG,Brian Sabean
1382,2011,SFG,Brian Sabean
1383,2010,SFG,Brian Sabean
1384,2009,SFG,Brian Sabean
1385,2008,SFG,Brian Sabean
1386,2007,SFG,Brian Sabean
1387,2006,SFG,Brian Sabean
1388,2005,SFG,Brian Sabean
1389,2004,SFG,Brian Sabean
1390,2003,SFG,Brian Sabean
1391,2002,SFG,Brian Sabean
1392,2001,SFG,Brian Sabean
1393,2000,SFG,Brian Sabean
1394,1999,SFG,Brian Sabean
1395,1998,SFG,Brian Sabean
1396,1997,SFG,Brian Sabean
1397,1996,SFG,Bob Quinn
1398,1995,SFG,Bob Quinn
1399,1994,SFG,Bob Quinn
1400,1993,SFG,Bob Quinn
1401,1992,SFG,Al Rosen
1402,1991,SFG,Al Rosen
1403,1990,SFG,Al Rosen
1404,1989,SFG,Al Rosen
1405,1988,SFG,Al Rosen
1406,1987,SFG,Al Rosen
1407,1986,SFG,Al Rosen
1408,1985,SFG,Tom Haller
1409,1984,SFG,Tom Haller
1410,1983,SFG,Tom Haller
1411,1982,SFG,Tom Haller
1412,1981,SFG,Spec Richardson
1413,1980,SFG,Spec Richardson
1414,1979,SFG,Spec Richardson
1415,1978,SFG,Spec Richardson
1416,1977,SFG,Spec Richardson
1417,1976,SFG,Spec Richardson
1418,1975,SFG,Horace Stoneham
1419,1974,SFG,Horace Stoneham
1420,1973,SFG,Horace Stoneham
1421,1972,SFG,Horace Stoneham
1422,1971,SFG,Horace Stoneham
1423,1970,SFG,Horace Stoneham
1424,1969,SFG,Horace Stoneham
1425,1969,SFG,Chub Feeney
1426,1968,SFG,Chub Feeney
1427,1967,SFG,Chub Feeney
1428,1966,SFG,Chub Feeney
1429,1965,SFG,Chub Feeney
1430,1964,SFG,Chub Feeney
1431,1963,SFG,Chub Feeney
1432,1962,SFG,Chub Feeney
1433,1961,SFG,Chub Feeney
1434,1960,SFG,Chub Feeney
1435,1959,SFG,Chub Feeney
1436,1958,SFG,Chub Feeney
1437,1957,NYG,Chub Feeney
1438,1956,NYG,Chub Feeney
1439,1955,NYG,Chub Feeney
1440,1954,NYG,Chub Feeney
1441,1953,NYG,Chub Feeney
1442,1952,NYG,Chub Feeney
1443,1951,NYG,Chub Feeney
1444,1950,NYG,Chub Feeney
1445,2021,SEA,Jerry Dipoto
1446,2020,SEA,Jerry Dipoto
1447,2019,SEA,Jerry Dipoto
1448,2018,SEA,Jerry Dipoto
1449,2017,SEA,Jerry Dipoto
1450,2016,SEA,Jerry Dipoto
1451,2015,SEA,Jack Zduriencik
1452,2014,SEA,Jack Zduriencik
1453,2013,SEA,Jack Zduriencik
1454,2012,SEA,Jack Zduriencik
1455,2011,SEA,Jack Zduriencik
1456,2010,SEA,Jack Zduriencik
1457,2009,SEA,Jack Zduriencik
1458,2008,SEA,Lee Pelekoudas
1459,2007,SEA,Bill Bavasi
1460,2006,SEA,Bill Bavasi
1461,2005,SEA,Bill Bavasi
1462,2004,SEA,Bill Bavasi
1463,2003,SEA,Pat Gillick
1464,2002,SEA,Pat Gillick
1465,2001,SEA,Pat Gillick
1466,2000,SEA,Pat Gillick
1467,1999,SEA,Woody Woodward
1468,1998,SEA,Woody Woodward
1469,1997,SEA,Woody Woodward
1470,1996,SEA,Woody Woodward
1471,1995,SEA,Woody Woodward
1472,1994,SEA,Woody Woodward
1473,1993,SEA,Woody Woodward
1474,1992,SEA,Woody Woodward
1475,1991,SEA,Woody Woodward
1476,1990,SEA,Woody Woodward
1477,1989,SEA,Woody Woodward
1478,1988,SEA,Dick Balderson
1479,1987,SEA,Dick Balderson
1480,1986,SEA,Dick Balderson
1481,1985,SEA,Hal Keller
1482,1984,SEA,Hal Keller
1483,1983,SEA,Dan O'Brien
1484,1982,SEA,Dan O'Brien
1485,1981,SEA,Dan O'Brien
1486,1980,SEA,Lou Gorman
1487,1979,SEA,Lou Gorman
1488,1978,SEA,Lou Gorman
1489,1977,SEA,Lou Gorman
1490,2021,STL,Mike Girsch
1491,2020,STL,Mike Girsch
1492,2019,STL,Mike Girsch
1493,2018,STL,Mike Girsch
1494,2017,STL,John Mozeliak
1495,2017,STL,Mike Girsch
1496,2016,STL,John Mozeliak
1497,2015,STL,John Mozeliak
1498,2014,STL,John Mozeliak
1499,2013,STL,John Mozeliak
1500,2012,STL,John Mozeliak
1501,2011,STL,John Mozeliak
1502,2010,STL,John Mozeliak
1503,2009,STL,John Mozeliak
1504,2008,STL,John Mozeliak
1505,2007,STL,Walt Jocketty
1506,2006,STL,Walt Jocketty
1507,2005,STL,Walt Jocketty
1508,2004,STL,Walt Jocketty
1509,2003,STL,Walt Jocketty
1510,2002,STL,Walt Jocketty
1511,2001,STL,Walt Jocketty
1512,2000,STL,Walt Jocketty
1513,1999,STL,Walt Jocketty
1514,1998,STL,Walt Jocketty
1515,1997,STL,Walt Jocketty
1516,1996,STL,Walt Jocketty
1517,1995,STL,Walt Jocketty
1518,1994,STL,Dal Maxvill
1519,1993,STL,Dal Maxvill
1520,1992,STL,Dal Maxvill
1521,1991,STL,Dal Maxvill
1522,1990,STL,Dal Maxvill
1523,1989,STL,Dal Maxvill
1524,1988,STL,Dal Maxvill
1525,1987,STL,Dal Maxvill
1526,1986,STL,Dal Maxvill
1527,1985,STL,Dal Maxvill
1528,1984,STL,Joe McDonald
1529,1983,STL,Joe McDonald
1530,1982,STL,Whitey Herzog
1531,1981,STL,Whitey Herzog
1532,1980,STL,John Claiborne
1533,1979,STL,John Claiborne
1534,1978,STL,Bing Devine
1535,1977,STL,Bing Devine
1536,1976,STL,Bing Devine
1537,1975,STL,Bing Devine
1538,1974,STL,Bing Devine
1539,1973,STL,Bing Devine
1540,1972,STL,Bing Devine
1541,1971,STL,Bing Devine
1542,1970,STL,Bing Devine
1543,1969,STL,Bing Devine
1544,1968,STL,Bing Devine
1545,1967,STL,Stan Musial
1546,1966,STL,Bob Howsam
1547,1965,STL,Bob Howsam
1548,1964,STL,Bing Devine
1549,1963,STL,Bing Devine
1550,1962,STL,Bing Devine
1551,1961,STL,Bing Devine
1552,1960,STL,Bing Devine
1553,1959,STL,Bing Devine
1554,1958,STL,Bing Devine
1555,1957,STL,Frank Lane
1556,1956,STL,Frank Lane
1557,1955,STL,Dick Meyer
1558,1954,STL,Dick Meyer
1559,2021,TBR,Erik Neander
1560,2020,TBR,Erik Neander
1561,2019,TBR,Erik Neander
1562,2018,TBR,Erik Neander
1563,2017,TBR,Erik Neander
1564,2016,TBR,Matt Silverman
1565,2015,TBR,Matt Silverman
1566,2014,TBR,Andrew Friedman
1567,2013,TBR,Andrew Friedman
1568,2012,TBR,Andrew Friedman
1569,2011,TBR,Andrew Friedman
1570,2010,TBR,Andrew Friedman
1571,2009,TBR,Andrew Friedman
1572,2008,TBR,Andrew Friedman
1573,2007,TBR,Andrew Friedman
1574,2006,TBR,Andrew Friedman
1575,2005,TBR,Chuck Lamar
1576,2004,TBR,Chuck Lamar
1577,2003,TBR,Chuck Lamar
1578,2002,TBR,Chuck Lamar
1579,2001,TBR,Chuck Lamar
1580,2000,TBR,Chuck Lamar
1581,1999,TBR,Chuck Lamar
1582,1998,TBR,Chuck Lamar
1583,2021,TEX,Chris Young
1584,2020,TEX,Jon Daniels
1585,2019,TEX,Jon Daniels
1586,2018,TEX,Jon Daniels
1587,2017,TEX,Jon Daniels
1588,2016,TEX,Jon Daniels
1589,2015,TEX,Jon Daniels
1590,2014,TEX,Jon Daniels
1591,2013,TEX,Jon Daniels
1592,2012,TEX,Jon Daniels
1593,2011,TEX,Jon Daniels
1594,2010,TEX,Jon Daniels
1595,2009,TEX,Jon Daniels
1596,2008,TEX,Jon Daniels
1597,2007,TEX,Jon Daniels
1598,2006,TEX,Jon Daniels
1599,2005,TEX,John Hart
1600,2004,TEX,John Hart
1601,2003,TEX,John Hart
1602,2002,TEX,John Hart
1603,2001,TEX,Douglas Melvin
1604,2000,TEX,Douglas Melvin
1605,1999,TEX,Douglas Melvin
1606,1998,TEX,Douglas Melvin
1607,1997,TEX,Douglas Melvin
1608,1996,TEX,Douglas Melvin
1609,1995,TEX,Douglas Melvin
1610,1994,TEX,Tom Grieve
